id,hole,index,par,shots
6,4,6,4,t373.f128.r19-9.g18-3x2
6,5,18,3,t114.g7-11
6,6,4,4,t377.f156.r27-9.g10-12x2
6,7,10,5,t492.f280.r134r.g32-12x3
6,8,12,3,t154.s52-6.r45-2.r8-12.g4-1
6,9,2,5,t490.r322l.f226.f33-7.g5-2x2
6,10,13,4,t320.r99r.g15-6x2
6,11,9,3,t155.g16-8x2
6,12,7,5,t433.f192.f28-3.g10-6x2
6,13,15,4,t256.r101l.g32-9x3
6,14,17,3,t130.s23-4.r23-2.g9-6x2
6,15,3,4,t351.f151.r48-9.g7-8x2
6,16,11,5,t415.r214r.f13-7.r4-11.g2-9
6,17,1,4,t330.f172.g23-6x3
6,18,5,4,t300.r128r.g20-8x3
7,1,8,3,t122.g19-3x2
7,2,5,4,t300x3.r109r.g11-1x2
7,3,3,3,t142.s23-3.g10-9x3
7,4,1,5,t441.r209r.r67l.r10-1.g11-6x2
7,5,7,3,t121.g13-12x2
7,6,6,4,t298.r62r.g14-1x2
7,7,4,3,t146.f7-6.g5-11x2
7,8,9,3,t124.g12-3x2
7,9,2,4,t311.s56l.s30-3.g33-4x3
8,1,2,5,t460.f238.g31-5x3
8,2,1,5,t464.y239l.r199l.f15-9.g5-12x2
8,3,8,4,t235.f74.f7-8.g5-4x2
8,4,5,3,t190.r27-7.g5-7
8,5,3,4,t286.f79.g4-6x2
8,6,6,3,t185.g11-6x3
8,7,7,4,t307.r136l.r19-3.g5-12
8,8,4,4,t303.f58.r18-12x2.g16-12x2
8,9,9,3,t148.g29-3x2
9,1,8,3,t165.g24-12x2
9,2,5,4,t316.f63.r20-4.g16-4x3
9,3,3,3,t164.r18-12.g24-6x3
9,4,1,5,t507x2.r284r.f98.g12-8x2
9,5,7,3,t154.r36-4x2.g8-4
9,6,6,4,t305.f99.f28-5.s13-6.g6-12x2
9,7,4,3,t165x2.r42r.g7-5
9,8,9,3,t122.s28-4x2.g1-10
9,9,2,4,t354.f159.r21-2.g3-4x2
10,1,15,4,t306.f186r.f72-6.g27-6x3
10,2,7,4,t320.s135r.f10-10.g5-4x2
10,3,17,3,t128.r10-4.g7-1x2
10,4,13,4,t285.f118.g10-3x2
10,5,11,3,t182.r13-7.g9-3
10,6,1,5,t353.r128r.g2-1
10,7,5,4,t341x3.r148.f14-7.r4-1.g5-4
10,8,9,4,t339.r131r.g9-11x2
10,9,3,4,t343.f141.g21-9x2
11,1,2,5,t468.r231r.y83l.f30.g30-12x3
11,2,1,5,t462.f295.f76.g30-6x2
11,3,8,4,t232.r33-10.r5-12.g2-4
11,4,5,3,t208.r50-2.g2-2
11,5,3,4,t303.f87.g21-6x2
11,6,6,3,t175.r24-4.g11-4x2
11,7,7,4,t313.f67.r9-12.g23-12x3
11,8,4,4,t297.r90l.g18-6x2
11,9,9,3,t152.g23-2x3
12,1,9,4,t344.r130r.f14-6.g15-12x2
12,2,7,5,t479.f244.f126.f4-12.g4-8
12,3,13,3,t160.r12-9.g3-9
12,4,1,5,t535.f295.r133r.r28-9.g3-1
12,5,15,3,t154.r17-6.g3-1
12,6,3,4,t356.s137l.g23-3x2
12,7,11,4,t311.f93.g19-5x2
12,8,5,4,t326.r113l.g37-7x3
12,9,17,4,t246.r220x2.r56r.g30-6x2
12,10,18,3,t149.r13-8.g15-8x2
12,11,14,4,t300.r56l.r7-12.g8-5x2
12,12,10,3,t246.r42-6.g23-12x3
12,13,8,4,t380.f150.r14-4.g8-8x2
12,14,4,4,t416.f173.g23-11x3
12,15,12,4,t364.r139l.r13-8.g6-4x2
12,16,6,5,t532.r306r.r166l.g13-8x2
12,17,16,3,t174.r66-5.r6-6.g3-4
12,18,2,5,t500.f321.f231.r30-4.g18-12x2
13,1,2,4,t351.r107r.r7-4.g3-3
13,2,10,5,t390.y181l.f91.f8-11.g6-6x2
13,3,12,3,t141.f11-8.g11-7x2
13,4,6,4,t317.r72r.r26-2.g4-10x2
13,5,4,4,t330.r149r.g4-1
13,6,18,3,t172.g21-11x2
13,7,14,4,t280.f104r.g13-2
13,8,8,4,t316.r159r.f9-4.g4-9x2
13,9,16,4,t288.r79l.f10-6.g9-6x3
14,1,2,4,t370.y161r.f36.g20-1x2
14,2,7,4,t327.f44.g11-12x2
14,3,6,4,t293.r103l.g20-7x2
14,4,9,3,t165.s28-10.r8-12.g12-6
14,5,1,4,t370.r157r.r9-3.g10-7x2
14,6,5,5,t428.f181.s27-8x2.g6-11
14,7,3,4,t407.f181.f23-6.g7-1x2
14,8,8,3,t164.f23-5.g8-5x2
14,9,4,4,t400.r157r.g25-7x2
15,1,15,4,t307.f74.g10-9x2
15,2,7,4,t323.f80.g13-4x2
15,3,17,3,t125.f8-6.g6-6x2
15,4,13,4,t286.r109l.s20-4.g12-10x2
15,5,11,3,t180.s18-8.r15-2.g1-7
